dataset,representation,condition,MAP,P@10,nDCG@10,R@10,queries,time_s
touche2020,tfidf,baseline,0.0191,0.1755,0.1297,0.0359,49,87.7
touche2020,tfidf,with_features,0.0191,0.1755,0.1297,0.0359,49,90.1
touche2020,bm25,baseline,0.1377,0.7388,0.6206,0.1521,49,0.8
touche2020,bm25,with_features,0.1377,0.7388,0.6206,0.1521,49,1.0
touche2020,embedding,baseline,0.0351,0.2857,0.2248,0.0609,49,8.8
touche2020,embedding,with_features,0.0342,0.2776,0.2185,0.0591,49,5.3
touche2020,hybrid_rrf,baseline,0.0351,0.2857,0.2248,0.0609,49,5.8
touche2020,hybrid_rrf,with_features,0.0342,0.2776,0.2185,0.0591,49,7.1
touche2020,hybrid_combsum,baseline,0.0351,0.2857,0.2248,0.0609,49,5.8
touche2020,hybrid_combsum,with_features,0.0342,0.2776,0.2185,0.0591,49,7.1
touche2020,hybrid_combmnz,baseline,0.0351,0.2857,0.2248,0.0609,49,5.5
touche2020,hybrid_combmnz,with_features,0.0342,0.2776,0.2185,0.0591,49,7.4
touche2020,multi_rrf,baseline,0.0352,0.2694,0.2233,0.0579,49,11.5
touche2020,multi_rrf,with_features,0.0352,0.2694,0.2233,0.0579,49,7.4
touche2020,multi_combsum,baseline,0.0351,0.2673,0.2228,0.0573,49,7.5
touche2020,multi_combsum,with_features,0.0351,0.2673,0.2228,0.0573,49,7.4
touche2020,multi_combmnz,baseline,0.0353,0.2673,0.2222,0.0574,49,8.0
touche2020,multi_combmnz,with_features,0.0353,0.2673,0.2222,0.0574,49,7.4
nq,tfidf,baseline,0.1353,0.0375,0.1825,0.3117,200,183.7
nq,tfidf,with_features,0.1353,0.0375,0.1825,0.3117,200,180.8
nq,bm25,baseline,0.293,0.061,0.354,0.5183,200,4.5
nq,bm25,with_features,0.293,0.061,0.354,0.5183,200,4.0
nq,embedding,baseline,0.4308,0.079,0.5005,0.6775,200,26.0
nq,embedding,with_features,0.3745,0.0695,0.4366,0.5975,200,24.2
nq,hybrid_rrf,baseline,0.4308,0.079,0.5005,0.6775,200,29.1
nq,hybrid_rrf,with_features,0.3745,0.0695,0.4366,0.5975,200,36.0
nq,hybrid_combsum,baseline,0.4308,0.079,0.5005,0.6775,200,29.9
nq,hybrid_combsum,with_features,0.3745,0.0695,0.4366,0.5975,200,33.8
nq,hybrid_combmnz,baseline,0.4308,0.079,0.5005,0.6775,200,30.6
nq,hybrid_combmnz,with_features,0.3745,0.0695,0.4366,0.5975,200,34.4
nq,multi_rrf,baseline,0.4603,0.084,0.5331,0.7233,200,44.6
nq,multi_rrf,with_features,0.4603,0.084,0.5331,0.7233,200,44.0
nq,multi_combsum,baseline,0.4721,0.084,0.5414,0.7208,200,43.0
nq,multi_combsum,with_features,0.4721,0.084,0.5414,0.7208,200,44.0
nq,multi_combmnz,baseline,0.4725,0.084,0.5419,0.7208,200,41.7
nq,multi_combmnz,with_features,0.4725,0.084,0.5419,0.7208,200,42.8
